product_id,product_type,radius,spatial_basis_risk,traditional_basis_risk,improvement
0,single_threshold,30.0,7002079.932612888,6874228.64327169,-0.018598637894643603
1,single_threshold,50.0,8242753.573643442,8067565.415115782,-0.021715120921042566
2,single_threshold,100.0,13373027.970509833,13245176.68116864,-0.009652667715861091
