product_id,base_product_id,name,structure_type,radius_km,n_thresholds,max_payout,payout_level,payout_level_pct,absolute_risk,asymmetric_risk,weighted_risk,rmse_risk,relative_absolute_risk,relative_weighted_risk,correlation,trigger_rate,mean_payout,coverage_ratio,basis_risk_std,hospital_match_score
S005_R30_max_L25,S005_R30_max,"Steinmann S005 (R=30km, max)",single,30,1,50000000.0,0.25,25%,321849533.29091763,321849533.29091763,643699066.5818353,1789798531.6930192,0.20890191880971026,644208.8028648732,0.7200211370483084,0.039634146341463415,495426.8292682927,0.0015369460998663465,1760622521.1472523,1.5535209702208667e-09
S005_R30_max_L50,S005_R30_max,"Steinmann S005 (R=30km, max)",single,30,1,100000000.0,0.5,50%,321354106.4616493,321354106.4616493,642708212.9232986,1787984542.9032412,0.2087641468526436,644208.8025893293,0.7200211370483084,0.039634146341463415,990853.6585365854,0.003073892199732693,1758869029.7805429,1.5559160103084368e-09
S005_R30_max_L75,S005_R30_max,"Steinmann S005 (R=30km, max)",single,30,1,150000000.0,0.75,75%,320858679.632381,320858679.632381,641717359.264762,1786172178.9743755,0.20862637489557695,644208.8023137854,0.7200211370483018,0.039634146341463415,1486280.487804878,0.004610838299599039,1757117173.283169,1.5583184465937097e-09
S005_R30_max_L100,S005_R30_max,"Steinmann S005 (R=30km, max)",single,30,1,200000000.0,1.0,100%,320363252.80311275,320363252.80311275,640726505.6062255,1784361444.8575037,0.2084886029385103,644208.8020382414,0.7200211370483084,0.039634146341463415,1981707.3170731708,0.006147784399465386,1755366956.5499308,1.5607283133903105e-09
S006_R30_max_L25,S006_R30_max,"Steinmann S006 (R=30km, max)",single,30,1,50000000.0,0.25,25%,321354106.4616493,321354106.4616493,642708212.9232986,1787984542.9032412,0.2087641468526436,644208.8025893293,0.7200211370483084,0.039634146341463415,990853.6585365854,0.003073892199732693,1758869029.7805429,1.5559160103084368e-09
S006_R30_max_L50,S006_R30_max,"Steinmann S006 (R=30km, max)",single,30,1,100000000.0,0.5,50%,320363252.80311275,320363252.80311275,640726505.6062255,1784361444.8575037,0.2084886029385103,644208.8020382414,0.7200211370483084,0.039634146341463415,1981707.3170731708,0.006147784399465386,1755366956.5499308,1.5607283133903105e-09
S006_R30_max_L75,S006_R30_max,"Steinmann S006 (R=30km, max)",single,30,1,150000000.0,0.75,75%,319372399.14457613,319372399.14457613,638744798.2891523,1780744885.942377,0.20821305902437692,644208.8014871536,0.7200211370483018,0.039634146341463415,2972560.975609756,0.009221676599198078,1751871462.029839,1.5655704768365742e-09
S006_R30_max_L100,S006_R30_max,"Steinmann S006 (R=30km, max)",single,30,1,200000000.0,1.0,100%,318381545.4860396,318381545.4860396,636763090.9720792,1777134906.0802412,0.20793751511024355,644208.8009360658,0.7200211370483084,0.039634146341463415,3963414.6341463416,0.012295568798930772,1748382585.6781886,1.570442779437738e-09
S007_R30_max_L25,S007_R30_max,"Steinmann S007 (R=30km, max)",single,30,1,50000000.0,0.25,25%,320858679.632381,320858679.632381,641717359.264762,1786172178.9743755,0.20862637489557695,644208.8023137854,0.7200211370483018,0.039634146341463415,1486280.487804878,0.004610838299599039,1757117173.283169,1.5583184465937097e-09
S007_R30_max_L50,S007_R30_max,"Steinmann S007 (R=30km, max)",single,30,1,100000000.0,0.5,50%,319372399.14457613,319372399.14457613,638744798.2891523,1780744885.942377,0.20821305902437692,644208.8014871536,0.7200211370483018,0.039634146341463415,2972560.975609756,0.009221676599198078,1751871462.029839,1.5655704768365742e-09
S007_R30_max_L75,S007_R30_max,"Steinmann S007 (R=30km, max)",single,30,1,150000000.0,0.75,75%,317886118.65677124,317886118.65677124,635772237.3135425,1775332395.8386989,0.2077997431531769,644208.8006605218,0.7200211370483093,0.039634146341463415,4458841.463414635,0.013832514898797117,1746640641.7118857,1.572890320993903e-09
S007_R30_max_L100,S007_R30_max,"Steinmann S007 (R=30km, max)",single,30,1,200000000.0,1.0,100%,316399838.1689664,316399838.1689664,632799676.3379328,1769934844.4661474,0.20738642728197693,644208.7998338902,0.7200211370483018,0.039634146341463415,5945121.951219512,0.018443353198396156,1741424846.5156507,1.5802789347282992e-09
S008_R30_max_L25,S008_R30_max,"Steinmann S008 (R=30km, max)",single,30,1,50000000.0,0.25,25%,320363252.80311275,320363252.80311275,640726505.6062255,1784361444.8575037,0.2084886029385103,644208.8020382414,0.7200211370483084,0.039634146341463415,1981707.3170731708,0.006147784399465386,1755366956.5499308,1.5607283133903105e-09
S008_R30_max_L50,S008_R30_max,"Steinmann S008 (R=30km, max)",single,30,1,100000000.0,0.5,50%,318381545.4860396,318381545.4860396,636763090.9720792,1777134906.0802412,0.20793751511024355,644208.8009360658,0.7200211370483084,0.039634146341463415,3963414.6341463416,0.012295568798930772,1748382585.6781886,1.570442779437738e-09
S008_R30_max_L75,S008_R30_max,"Steinmann S008 (R=30km, max)",single,30,1,150000000.0,0.75,75%,316399838.1689664,316399838.1689664,632799676.3379328,1769934844.4661474,0.20738642728197693,644208.7998338902,0.7200211370483018,0.039634146341463415,5945121.951219512,0.018443353198396156,1741424846.5156507,1.5802789347282992e-09
S008_R30_max_L100,S008_R30_max,"Steinmann S008 (R=30km, max)",single,30,1,200000000.0,1.0,100%,314418130.8518932,314418130.8518932,628836261.7037864,1762761584.4559612,0.20683533945371022,644208.7987317145,0.7200211370483084,0.039634146341463415,7926829.268292683,0.024591137597861544,1734494059.553186,1.5902390802024255e-09
S009_R30_max_L25,S009_R30_max,"Steinmann S009 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322230630.8518932,322230630.8518932,644461261.7037864,1791069843.2683733,0.20902187766308064,644208.8031047909,0.44768672494731454,0.009146341463414634,114329.26829268293,0.0003546798691999261,1761845227.0293736,1.5516836431790779e-09
S009_R30_max_L50,S009_R30_max,"Steinmann S009 (R=30km, max)",single,30,1,100000000.0,0.5,50%,322116301.5836005,322116301.5836005,644232603.167201,1790526178.8233378,0.20900406455938428,644208.8030691646,0.44768672494731454,0.009146341463414634,228658.53658536586,0.0007093597383998522,1761313454.5860386,1.5522343848037606e-09
S009_R30_max_L75,S009_R30_max,"Steinmann S009 (R=30km, max)",single,30,1,150000000.0,0.75,75%,322001972.31530786,322001972.31530786,644003944.6306157,1789983147.6496418,0.20898625145568794,644208.8030335385,0.44768672494732065,0.009146341463414634,342987.8048780488,0.0010640396075997783,1760782325.756018,1.552785517518513e-09
S009_R30_max_L100,S009_R30_max,"Steinmann S009 (R=30km, max)",single,30,1,200000000.0,1.0,100%,321887643.0470152,321887643.0470152,643775286.0940304,1789440750.3238106,0.20896843835199164,644208.8029979123,0.44768672494731454,0.009146341463414634,457317.0731707317,0.0014187194767997045,1760251841.1219113,1.5533370417400617e-09
S010_R30_max_L25,S010_R30_max,"Steinmann S010 (R=30km, max)",single,30,1,50000000.0,0.25,25%,322116301.5836005,322116301.5836005,644232603.167201,1790526178.8233378,0.20900406455938428,644208.8030691646,0.44768672494731454,0.009146341463414634,228658.53658536586,0.0007093597383998522,1761313454.5860386,1.5522343848037606e-09
S010_R30_max_L50,S010_R30_max,"Steinmann S010 (R=30km, max)",single,30,1,100000000.0,0.5,50%,321887643.0470152,321887643.0470152,643775286.0940304,1789440750.3238106,0.20896843835199164,644208.8029979123,0.44768672494731454,0.009146341463414634,457317.0731707317,0.0014187194767997045,1760251841.1219113,1.5533370417400617e-09
S010_R30_max_L75,S010_R30_max,"Steinmann S010 (R=30km, max)",single,30,1,150000000.0,0.75,75%,321658984.5104298,321658984.5104298,643317969.0208596,1788357859.5219722,0.20893281214459894,644208.8029266598,0.44768672494732065,0.009146341463414634,685975.6097560975,0.0021280792151995567,1759192806.7718241,1.5544412663734155e-09
S010_R30_max_L100,S010_R30_max,"Steinmann S010 (R=30km, max)",single,30,1,200000000.0,1.0,100%,321430325.9738444,321430325.9738444,642860651.9476888,1787277511.0305076,0.20889718593720627,644208.8028554075,0.44768672494731454,0.009146341463414634,914634.1463414634,0.002837438953599409,1758136356.1964564,1.555547062049499e-09
